codigo,precio
VIBL,7.39
DET,7.741695037
DEGQ78,7.245838444
FULM,900
BN6090,801
BN90120,801
ESCEC,34.8
ESABLARG,41.18
BAS,26
2,49.5
6,49.5
8,46.87
9,164.67
10,126.42
11,145.8
12,36.45
13,336.0564
16,289.3819
17,280.047
18,280.047
19,317.3866
20,280.047
21,277.48
22,375.41
24,220.35
25,320
28,317.3866
25,280.047
27,336.0564
34,64.94
38,7.39
39,339.06
40,518.74
41,518.74
42,518.74
44,660
45,518.74
46,1071.5
47,1270
48,5.6824
49,5.6824
50,5.68
51,11.21
52,5.5784
53,26.73
54,0.5
58,86
59,13
60,900
61,24.72
62,10.76874064
63,816.48
64,97.86
68,31.73866
69,60
70,62
74,32.5
76,8.23
78,360
79,37.899694
80,47.75
83,1026.839
89,84.94759
96,20.67
97,81.04
103,26
110,47.5
111,4.58
119,117.32
124,15.79
138,63.103924
140,71.21
142,14.14
144,9
154,17.362914
159,127.6
160,54.5577
164,93.83
165,93.83
167,85.88108
168,115.88
170,0.5
171,20
173,22.6931419
175,11.59657095
180,6.4525
184,67.21128
186,63.103924
187,63.103924
193,71.21
194,93.83
195,62
197,6.587156549
198,7.741695037
